Starting Balance: 100000.00
Trade 1: LOSS | Profit: -6.76 | Balance: 99983.24 | Win Rate: 0.0000
Trade 2: LOSS | Profit: -2.28 | Balance: 99970.96 | Win Rate: 0.0000
Trade 3: WIN | Profit: 0.98 | Balance: 100001.93 | Win Rate: 0.3333
Trade 4: LOSS | Profit: -5.70 | Balance: 99986.24 | Win Rate: 0.2500
Trade 5: LOSS | Profit: -0.53 | Balance: 99975.70 | Win Rate: 0.2000
Trade 6: LOSS | Profit: -5.26 | Balance: 99960.44 | Win Rate: 0.1667
Trade 7: LOSS | Profit: -0.33 | Balance: 99950.12 | Win Rate: 0.1429
Trade 8: LOSS | Profit: -2.48 | Balance: 99937.63 | Win Rate: 0.1250
Trade 9: LOSS | Profit: -4.74 | Balance: 99922.89 | Win Rate: 0.1111
Trade 10: LOSS | Profit: -2.38 | Balance: 99910.52 | Win Rate: 0.1000
Trade 11: LOSS | Profit: -0.14 | Balance: 99900.38 | Win Rate: 0.0909
Trade 12: LOSS | Profit: -7.42 | Balance: 99882.96 | Win Rate: 0.0833
Trade 13: LOSS | Profit: -2.95 | Balance: 99870.02 | Win Rate: 0.0769
Trade 14: LOSS | Profit: -2.83 | Balance: 99857.18 | Win Rate: 0.0714
Trade 15: LOSS | Profit: -0.75 | Balance: 99846.44 | Win Rate: 0.0667
Trade 16: LOSS | Profit: -1.71 | Balance: 99834.73 | Win Rate: 0.0625
Trade 17: WIN | Profit: 2.67 | Balance: 99867.40 | Win Rate: 0.1176
Trade 18: LOSS | Profit: -2.35 | Balance: 99855.05 | Win Rate: 0.1111
Trade 19: LOSS | Profit: -16.55 | Balance: 99828.50 | Win Rate: 0.1053
Trade 20: LOSS | Profit: -7.78 | Balance: 99810.71 | Win Rate: 0.1000
Trade 21: LOSS | Profit: -122.59 | Balance: 99678.12 | Win Rate: 0.0952
Trade 22: LOSS | Profit: -3.47 | Balance: 99664.65 | Win Rate: 0.0909
Trade 23: LOSS | Profit: -27.54 | Balance: 99627.11 | Win Rate: 0.0870
Trade 24: LOSS | Profit: -11.76 | Balance: 99605.35 | Win Rate: 0.0833
Trade 25: LOSS | Profit: -2.17 | Balance: 99593.17 | Win Rate: 0.0800
Trade 1: LOSS | Profit: -0.03 | Balance: 99989.97 | Win Rate: 0.0000
Trade 2: LOSS | Profit: -0.05 | Balance: 99979.92 | Win Rate: 0.0000
Trade 3: LOSS | Profit: -0.08 | Balance: 99969.84 | Win Rate: 0.0000
Trade 4: WIN | Profit: 0.03 | Balance: 99999.87 | Win Rate: 0.2500
Trade 5: LOSS | Profit: -0.03 | Balance: 99989.84 | Win Rate: 0.2000
Trade 6: LOSS | Profit: -0.00 | Balance: 99979.84 | Win Rate: 0.1667
Trade 7: LOSS | Profit: -3.23 | Balance: 99966.61 | Win Rate: 0.1429
Trade 8: WIN | Profit: 0.06 | Balance: 100026.73 | Win Rate: 0.2500
Trade 9: LOSS | Profit: -0.01 | Balance: 100016.72 | Win Rate: 0.2222
Trade 10: LOSS | Profit: -0.03 | Balance: 100006.69 | Win Rate: 0.2000
Trade 11: LOSS | Profit: -0.00 | Balance: 99996.69 | Win Rate: 0.1818
Trade 12: WIN | Profit: 0.02 | Balance: 100026.71 | Win Rate: 0.2500
Trade 13: WIN | Profit: 0.02 | Balance: 100056.73 | Win Rate: 0.3077
Trade 14: WIN | Profit: 0.01 | Balance: 100116.74 | Win Rate: 0.3571
Trade 15: LOSS | Profit: -0.03 | Balance: 100106.71 | Win Rate: 0.3333
Trade 16: LOSS | Profit: -0.11 | Balance: 100096.60 | Win Rate: 0.3125
Trade 17: LOSS | Profit: -0.11 | Balance: 100086.49 | Win Rate: 0.2941
Trade 18: WIN | Profit: 0.01 | Balance: 100116.51 | Win Rate: 0.3333
Trade 19: LOSS | Profit: -0.02 | Balance: 100106.48 | Win Rate: 0.3158
Trade 20: WIN | Profit: 0.06 | Balance: 100136.54 | Win Rate: 0.3500
Trade 21: LOSS | Profit: -0.01 | Balance: 100126.53 | Win Rate: 0.3333
Trade 22: WIN | Profit: 0.06 | Balance: 100186.62 | Win Rate: 0.3636
Trade 23: LOSS | Profit: -0.06 | Balance: 100176.55 | Win Rate: 0.3478
Trade 24: LOSS | Profit: -0.05 | Balance: 100166.51 | Win Rate: 0.3333
Trade 25: WIN | Profit: 0.04 | Balance: 100226.66 | Win Rate: 0.3600
Trade 26: LOSS | Profit: -0.00 | Balance: 100216.65 | Win Rate: 0.3462
Trade 27: WIN | Profit: 0.02 | Balance: 100276.70 | Win Rate: 0.3704
Trade 28: WIN | Profit: 0.04 | Balance: 100306.75 | Win Rate: 0.3929
Trade 29: LOSS | Profit: -0.05 | Balance: 100296.70 | Win Rate: 0.3793
Trade 30: WIN | Profit: 0.01 | Balance: 100326.71 | Win Rate: 0.4000
Trade 31: WIN | Profit: 0.02 | Balance: 100356.72 | Win Rate: 0.4194
Trade 32: LOSS | Profit: -0.01 | Balance: 100346.71 | Win Rate: 0.4062
Trade 33: WIN | Profit: 0.02 | Balance: 100376.73 | Win Rate: 0.4242
Trade 34: LOSS | Profit: -0.03 | Balance: 100366.70 | Win Rate: 0.4118
Trade 35: LOSS | Profit: -0.12 | Balance: 100356.58 | Win Rate: 0.4000
Trade 36: WIN | Profit: 0.01 | Balance: 100386.59 | Win Rate: 0.4167
Trade 37: LOSS | Profit: -0.02 | Balance: 100376.57 | Win Rate: 0.4054
Trade 38: LOSS | Profit: -0.09 | Balance: 100366.47 | Win Rate: 0.3947
Trade 39: LOSS | Profit: -0.03 | Balance: 100356.45 | Win Rate: 0.3846
Trade 40: LOSS | Profit: -0.45 | Balance: 100346.00 | Win Rate: 0.3750
Trade 41: LOSS | Profit: -0.00 | Balance: 100336.00 | Win Rate: 0.3659
Trade 42: WIN | Profit: 0.07 | Balance: 100366.06 | Win Rate: 0.3810
Trade 43: LOSS | Profit: -0.01 | Balance: 100356.05 | Win Rate: 0.3721
Trade 44: WIN | Profit: 0.01 | Balance: 100416.09 | Win Rate: 0.3864
Trade 45: LOSS | Profit: -0.05 | Balance: 100406.04 | Win Rate: 0.3778
Trade 46: WIN | Profit: 0.01 | Balance: 100436.05 | Win Rate: 0.3913
Trade 47: WIN | Profit: 0.10 | Balance: 100496.23 | Win Rate: 0.4043
Trade 48: LOSS | Profit: -0.02 | Balance: 100516.23 | Win Rate: 0.3958
Trade 49: WIN | Profit: 0.07 | Balance: 100546.29 | Win Rate: 0.4082
Trade 50: WIN | Profit: 0.44 | Balance: 100576.74 | Win Rate: 0.4200
Trade 51: WIN | Profit: 1.92 | Balance: 100608.66 | Win Rate: 0.4314
Trade 52: LOSS | Profit: -0.21 | Balance: 100598.44 | Win Rate: 0.4231
Trade 53: LOSS | Profit: -1.23 | Balance: 100587.21 | Win Rate: 0.4151
Trade 54: WIN | Profit: 1.31 | Balance: 100618.53 | Win Rate: 0.4259
Trade 55: WIN | Profit: 0.57 | Balance: 100649.10 | Win Rate: 0.4364
Trade 56: LOSS | Profit: -0.69 | Balance: 100638.41 | Win Rate: 0.4286
Trade 57: WIN | Profit: 0.69 | Balance: 100699.76 | Win Rate: 0.4386
Trade 58: WIN | Profit: 0.45 | Balance: 100730.21 | Win Rate: 0.4483
Trade 59: LOSS | Profit: -0.02 | Balance: 100720.20 | Win Rate: 0.4407
Trade 60: LOSS | Profit: -0.55 | Balance: 100709.65 | Win Rate: 0.4333
Trade 61: WIN | Profit: 0.41 | Balance: 100770.96 | Win Rate: 0.4426
